# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Sep 24 15:25:48 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,disc_year,disc_facility,pl_orbsmax,pl_bmassj,st_mass,sy_dist
51 Eri b,51 Eri,2015,Gemini Observatory,12.000000,,1.65,29.7575000
51 Peg b,51 Peg,1995,Haute-Provence Observatory,0.052000,0.46000,1.04,15.4614000
55 Cnc b,55 Cnc,1996,Lick Observatory,0.113400,0.80360,0.91,12.5855000
55 Cnc c,55 Cnc,2004,McDonald Observatory,0.241376,0.17140,0.95,12.5855000
55 Cnc d,55 Cnc,2002,Lick Observatory,5.503000,3.87800,0.95,12.5855000
55 Cnc e,55 Cnc,2004,McDonald Observatory,0.015440,0.02514,0.91,12.5855000
55 Cnc f,55 Cnc,2007,Multiple Observatories,0.770000,0.17200,0.90,12.5855000
6 Lyn b,6 Lyn,2008,Okayama Astrophysical Observatory,2.200000,2.40000,1.70,54.6599000
61 Vir b,61 Vir,2009,Multiple Observatories,0.050201,0.01600,0.94,8.5033200
61 Vir c,61 Vir,2009,Multiple Observatories,0.215100,0.05070,0.91,8.5033200
61 Vir d,61 Vir,2009,Multiple Observatories,0.476000,0.07200,0.94,8.5033200
7 CMa b,7 CMa,2011,Anglo-Australian Telescope,1.900000,2.60000,1.52,19.8101000
7 CMa c,7 CMa,2019,Multiple Observatories,2.153000,0.87000,1.34,19.8101000
70 Vir b,70 Vir,1996,Lick Observatory,0.476500,7.23000,1.06,17.9011000
75 Cet b,75 Cet,2012,Okayama Astrophysical Observatory,2.100000,3.00000,2.49,82.9613000
8 UMi b,8 UMi,2015,Bohyunsan Optical Astronomical Observatory,0.490000,1.31000,1.44,162.5520000
81 Cet b,81 Cet,2008,Okayama Astrophysical Observatory,2.500000,5.30000,2.40,101.2600000
91 Aqr b,91 Aqr,2013,Lick Observatory,0.700000,3.20000,1.40,44.0304000
AB Aur b,AB Aur,2022,Subaru Telescope,93.900000,9.00000,2.40,162.1270000
AB Pic b,AB Pic,2005,Paranal Observatory,260.000000,13.50000,,50.0475000
AU Mic b,AU Mic,2020,Transiting Exoplanet Survey Satellite (TESS),0.064400,,,9.7221000
AU Mic c,AU Mic,2021,Transiting Exoplanet Survey Satellite (TESS),0.110100,0.04279,0.50,9.7221000
BD+03 2562 b,BD+03 2562,2017,Multiple Observatories,1.300000,6.40000,1.14,1070.6300000
BD+14 4559 b,BD+14 4559,2009,McDonald Observatory,0.777000,1.47000,0.86,49.3520000
BD+15 2375 b,BD+15 2375,2016,Roque de los Muchachos Observatory,0.576000,1.06100,1.08,768.0450000
BD+15 2940 b,BD+15 2940,2013,McDonald Observatory,0.539000,1.11000,1.10,426.4200000
BD+20 2457 b,BD+20 2457,2009,McDonald Observatory,1.450000,21.42000,2.80,1539.7100000
BD+20 2457 c,BD+20 2457,2009,McDonald Observatory,2.010000,12.47000,2.80,1539.7100000
BD+20 274 b,BD+20 274,2012,McDonald Observatory,1.300000,4.20000,0.80,1322.5100000
BD+20 594 b,BD+20 594,2016,K2,,0.07000,1.67,179.4610000
BD+45 564 b,BD+45 564,2021,Haute-Provence Observatory,0.830000,1.36000,0.81,53.6220000
BD+48 738 b,BD+48 738,2011,McDonald Observatory,1.000000,0.91000,0.74,871.4930000
BD+48 740 b,BD+48 740,2018,Multiple Observatories,1.700000,1.70000,1.09,666.5890000
BD+49 828 b,BD+49 828,2015,McDonald Observatory,4.200000,1.60000,1.52,442.0420000
BD+55 362 b,BD+55 362,2021,Haute-Provence Observatory,0.780000,0.72000,0.91,52.5697000
BD+60 1417 b,BD+60 1417,2021,Wide-field Infrared Survey Explorer (WISE) Sat,1662.000000,15.00000,1.00,44.9543000
BD+63 1405 b,BD+63 1405,2021,Haute-Provence Observatory,2.060000,3.96000,0.82,38.0473000
BD-00 4475 b,BD-00 4475,2021,Haute-Provence Observatory,1.480000,25.05000,0.81,42.6402000
BD-06 1339 b,BD-06 1339,2013,La Silla Observatory,0.042800,0.02700,0.70,20.2695000
BD-06 1339 c,BD-06 1339,2013,La Silla Observatory,0.435000,0.17000,0.70,20.2695000
BD-08 2823 b,BD-08 2823,2009,La Silla Observatory,0.056000,0.04500,0.74,41.3342000
BD-08 2823 c,BD-08 2823,2009,La Silla Observatory,0.680000,0.33000,0.74,41.3342000
BD-10 3166 b,BD-10 3166,2000,W. M. Keck Observatory,0.045000,0.44900,1.00,84.4069000
BD-11 4672 b,BD-11 4672,2014,La Silla Observatory,2.360000,0.65000,0.65,27.1665000
BD-11 4672 c,BD-11 4672,2020,Roque de los Muchachos Observatory,0.300000,0.04836,0.65,27.1665000
BD-13 2130 b,BD-13 2130,2007,La Silla Observatory,2.100000,10.60000,2.40,925.2140000
BD-17 63 b,BD-17 63,2008,La Silla Observatory,1.340000,2.85000,0.31,34.4603000
CD Cet b,CD Cet,2020,Calar Alto Observatory,0.018500,0.01243,0.16,8.6071500
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2011,W. M. Keck Observatory,2.600000,10.50000,0.02,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,2021,Hubble Space Telescope,200.000000,7.80000,0.01,
CHXR 73 b,CHXR 73,2006,Hubble Space Telescope,210.000000,12.56900,0.35,190.3740000
CI Tau b,CI Tau,2019,Multiple Observatories,,11.60000,0.90,157.9980000
COCONUTS-2 b,COCONUTS-2 A,2021,NASA Infrared Telescope Facility (IRTF),7506.000000,6.30000,0.37,10.8864000
CT Cha b,CT Cha,2007,Paranal Observatory,440.000000,17.00000,,190.7200000
CoRoT-1 b,CoRoT-1,2008,CoRoT,0.026100,1.13000,1.03,787.9090000
CoRoT-10 b,CoRoT-10,2010,CoRoT,0.105500,2.73000,0.89,338.3860000
CoRoT-11 b,CoRoT-11,2010,CoRoT,0.044000,2.34000,1.26,655.0370000
CoRoT-12 b,CoRoT-12,2010,CoRoT,0.040130,0.91500,1.08,1126.3700000
CoRoT-13 b,CoRoT-13,2010,CoRoT,0.051000,1.30800,1.09,1148.9300000
CoRoT-14 b,CoRoT-14,2010,CoRoT,0.026870,7.67000,1.12,1744.6000000
CoRoT-16 b,CoRoT-16,2011,CoRoT,0.061800,0.53500,1.10,732.4090000
CoRoT-17 b,CoRoT-17,2011,CoRoT,0.048100,2.46000,1.04,1176.1200000
CoRoT-18 b,CoRoT-18,2011,CoRoT,0.028600,3.27000,0.86,764.8890000
CoRoT-19 b,CoRoT-19,2011,CoRoT,,,1.21,790.6630000
CoRoT-2 b,CoRoT-2,2008,CoRoT,0.027980,3.47000,0.96,213.2830000
CoRoT-20 b,CoRoT-20,2011,CoRoT,0.090000,4.30000,1.14,844.0610000
CoRoT-20 c,CoRoT-20,2018,Multiple Observatories,2.900000,17.00000,1.14,844.0610000
CoRoT-21 b,CoRoT-21,2012,CoRoT,0.041600,2.22000,1.29,
CoRoT-22 b,CoRoT-22,2014,CoRoT,0.092000,0.03800,1.10,627.1580000
CoRoT-23 b,CoRoT-23,2011,CoRoT,0.048400,3.09000,1.14,1060.9700000
CoRoT-24 b,CoRoT-24,2014,CoRoT,0.056000,0.01800,0.91,591.5550000
CoRoT-24 c,CoRoT-24,2014,CoRoT,0.098000,0.08800,0.91,591.5550000
CoRoT-25 b,CoRoT-25,2013,CoRoT,0.057800,0.27000,1.09,1103.4800000
CoRoT-26 b,CoRoT-26,2013,CoRoT,0.052600,0.52000,1.09,1045.1800000
CoRoT-27 b,CoRoT-27,2014,CoRoT,0.047600,10.39000,1.05,1010.2800000
CoRoT-28 b,CoRoT-28,2015,CoRoT,0.059000,0.48100,1.01,766.1830000
CoRoT-29 b,CoRoT-29,2015,CoRoT,0.038600,0.85000,0.97,806.5070000
CoRoT-3 b,CoRoT-3,2008,CoRoT,0.057830,21.96000,1.40,768.7710000
CoRoT-30 b,CoRoT-30,2020,CoRoT,0.084400,2.90000,0.98,1032.2300000
CoRoT-31 b,CoRoT-31,2020,CoRoT,0.058600,0.84000,1.25,2005.7600000
CoRoT-35 b,CoRoT-35,2022,CoRoT,0.042900,1.10000,1.01,1123.2100000
CoRoT-36 b,CoRoT-36,2022,CoRoT,0.066000,0.68000,1.32,925.9580000
CoRoT-4 b,CoRoT-4,2008,CoRoT,0.091200,0.73100,1.19,726.4120000
CoRoT-5 b,CoRoT-5,2009,CoRoT,0.049470,0.46700,1.00,882.4720000
CoRoT-6 b,CoRoT-6,2009,CoRoT,0.085500,2.96000,1.05,645.2940000
CoRoT-7 b,CoRoT-7,2009,CoRoT,,0.01905,0.92,159.9060000
CoRoT-7 c,CoRoT-7,2009,CoRoT,0.045000,0.04300,0.90,159.9060000
CoRoT-7 d,CoRoT-7,2022,La Silla Observatory,,0.05393,0.92,159.9060000
CoRoT-8 b,CoRoT-8,2010,CoRoT,0.063300,0.21600,0.88,322.0370000
CoRoT-9 b,CoRoT-9,2009,CoRoT,0.402700,0.82600,0.96,412.9800000
CoRoTID 223977153 b,CoRoTID 223977153,2017,CoRoT,,,1.08,576.6830000
DE CVn b,DE CVn,2018,Multiple Facilities,5.750000,12.02930,0.51,30.5225000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,2013,Paranal Observatory,0.360000,28.50000,0.07,
DH Tau b,DH Tau,2004,Subaru Telescope,,11.00000,0.68,134.8460000
DMPP-1 b,DMPP-1,2019,La Silla Observatory,0.146200,0.07636,1.21,62.5388000
DMPP-1 c,DMPP-1,2019,La Silla Observatory,0.073300,0.03020,1.21,62.5388000
DMPP-1 d,DMPP-1,2019,La Silla Observatory,0.042200,0.01054,1.21,62.5388000
DMPP-1 e,DMPP-1,2019,La Silla Observatory,0.065100,0.01299,1.21,62.5388000
DMPP-2 b,DMPP-2,2019,Multiple Facilities,0.066400,0.43700,1.44,137.9400000
DMPP-3 A b,DMPP-3 A,2019,La Silla Observatory,0.066200,0.00812,,45.2300000
DP Leo b,DP Leo,2009,Yunnan Astronomical Observatory,8.190000,6.05000,0.69,305.6840000
DS Tuc A b,DS Tuc A,2019,Transiting Exoplanet Survey Satellite (TESS),,,,44.0622000
EPIC 201170410.02,EPIC 201170410,2020,K2,0.034900,,0.29,
EPIC 201238110 b,EPIC 201238110,2019,K2,,,,159.2590000
EPIC 201427007 b,EPIC 201427007,2021,K2,,,,706.3910000
EPIC 201497682 b,EPIC 201497682,2019,K2,,,0.78,253.0260000
EPIC 201595106 b,EPIC 201595106,2021,K2,,,1.02,232.1000000
EPIC 201615463 c,K2-166,2019,K2,,,1.07,476.8820000
EPIC 201754305 d,K2-16,2019,K2,,,0.67,334.9670000
EPIC 201757695.02,EPIC 201757695,2020,K2,0.029600,,0.73,
EPIC 201833600 c,K2-50,2019,K2,,,,257.4430000
EPIC 201841433 b,EPIC 201841433,2019,K2,,,0.80,436.4880000
EPIC 205950854 c,K2-168,2019,K2,,,0.91,243.9350000
EPIC 206024342 b,EPIC 206024342,2019,K2,,,,369.8880000
EPIC 206024342 c,EPIC 206024342,2021,K2,,,,369.8880000
EPIC 206024342 d,EPIC 206024342,2021,K2,,,,369.8880000
EPIC 206032309 b,EPIC 206032309,2019,K2,,,0.22,161.3650000
EPIC 206042996 b,EPIC 206042996,2019,K2,,,,451.7690000
EPIC 206042996 c,EPIC 206042996,2021,K2,,,,451.7690000
EPIC 206215704 b,EPIC 206215704,2019,K2,,,0.41,109.8880000
EPIC 206317286 b,EPIC 206317286,2019,K2,,,0.71,314.3500000
EPIC 206317286 c,EPIC 206317286,2022,K2,,,0.83,314.3500000
EPIC 211822797 b,EPIC 211822797,2016,K2,0.119500,,0.62,186.1970000
EPIC 211945201 b,EPIC 211945201,2018,K2,,,,181.6900000
EPIC 212297394 b,EPIC 212297394,2019,K2,,,0.83,418.3950000
EPIC 212297394 c,EPIC 212297394,2016,K2,,,0.83,418.3950000
EPIC 212424622 b,EPIC 212424622,2019,K2,,,1.11,611.8040000
EPIC 212499991 b,EPIC 212499991,2019,K2,,,0.91,283.2900000
EPIC 212587672 b,EPIC 212587672,2019,K2,,,0.99,320.0700000
EPIC 212587672 c,EPIC 212587672,2016,K2,,,0.99,320.0700000
EPIC 212624936 b,EPIC 212624936,2021,K2,,,,561.9290000
EPIC 212624936 c,EPIC 212624936,2021,K2,,,,561.9290000
EPIC 212737443 b,EPIC 212737443,2019,K2,0.098000,,0.69,336.2500000
EPIC 212737443 c,EPIC 212737443,2019,K2,0.280000,,0.69,336.2500000
EPIC 220492298 b,EPIC 220492298,2021,K2,,,,624.5120000
EPIC 220554210 c,K2-282,2019,K2,,,,496.2890000
EPIC 220674823 b,EPIC 220674823,2016,K2,,,0.97,244.5900000
EPIC 220674823 c,EPIC 220674823,2016,K2,0.105000,0.01825,0.94,244.5900000
EPIC 228836835 b,EPIC 228836835,2021,K2,,,0.42,150.1240000
EPIC 246851721 b,EPIC 246851721,2018,K2,,,,372.6320000
EPIC 248847494 b,EPIC 248847494,2018,K2,4.500000,13.00000,0.90,551.8860000
EPIC 249893012 b,EPIC 249893012,2020,K2,0.047000,0.02753,1.05,321.2960000
EPIC 249893012 c,EPIC 249893012,2020,K2,0.130000,0.04616,1.05,321.2960000
EPIC 249893012 d,EPIC 249893012,2020,K2,0.220000,0.03203,1.05,321.2960000
FU Tau b,FU Tau,2008,Spitzer Space Telescope,800.000000,16.00000,0.05,
G 264-012 b,G 264-012,2021,Calar Alto Observatory,0.022790,0.00787,0.30,16.0090000
G 264-012 c,G 264-012,2021,Calar Alto Observatory,0.052500,0.01180,0.30,16.0090000
G 9-40 b,G 9-40,2019,K2,,,,27.9276000
GJ 1061 b,GJ 1061,2020,La Silla Observatory,0.021000,0.00431,0.12,3.6727800
GJ 1061 c,GJ 1061,2020,La Silla Observatory,0.035000,0.00547,0.12,3.6727800
GJ 1061 d,GJ 1061,2020,La Silla Observatory,0.054000,0.00516,0.12,3.6727800
GJ 1132 b,GJ 1132,2015,Cerro Tololo Inter-American Observatory,0.015330,0.00513,0.18,12.6130000
GJ 1132 c,GJ 1132,2018,La Silla Observatory,0.047600,0.00831,0.18,12.6130000
GJ 1148 b,GJ 1148,2010,W. M. Keck Observatory,0.163506,0.29800,0.34,11.0143000
GJ 1148 c,GJ 1148,2017,Calar Alto Observatory,0.912000,0.21414,0.34,11.0143000
GJ 1214 b,GJ 1214,2009,MEarth Project,,,0.18,14.6427000
GJ 1252 b,GJ 1252,2020,Transiting Exoplanet Survey Satellite (TESS),,,,20.3730000
GJ 1265 b,GJ 1265,2018,Calar Alto Observatory,0.026000,0.02328,0.18,10.2525000
GJ 143 b,GJ 143,2019,Transiting Exoplanet Survey Satellite (TESS),,,,16.3200000
GJ 15 A b,GJ 15 A,2014,W. M. Keck Observatory,0.071700,0.01683,0.38,3.5622800
GJ 15 A c,GJ 15 A,2018,Roque de los Muchachos Observatory,5.400000,0.11327,0.38,3.5622800
GJ 160.2 b,GJ 160.2,2014,Multiple Observatories,0.053000,0.03209,0.69,25.8557000
GJ 163 b,GJ 163,2013,La Silla Observatory,0.060700,0.03335,,15.1285000
GJ 163 c,GJ 163,2013,La Silla Observatory,0.125400,0.02140,,15.1285000
GJ 163 d,GJ 163,2013,La Silla Observatory,1.030400,0.09250,,15.1285000
GJ 179 b,GJ 179,2009,W. M. Keck Observatory,2.410000,0.82000,0.36,12.3560000
GJ 180 b,GJ 180,2014,Multiple Observatories,0.103000,0.02611,0.43,11.9407000
GJ 180 c,GJ 180,2014,Multiple Observatories,0.129000,0.02014,0.43,11.9407000
GJ 180 d,GJ 180,2020,Multiple Facilities,0.309000,0.02379,0.43,11.9407000
GJ 2056 b,GJ 2056,2020,Multiple Observatories,0.283000,0.05097,0.62,28.4434000
GJ 229 A c,GJ 229,2020,Multiple Facilities,0.339000,0.02287,0.58,5.7562400
GJ 229 b,GJ 229,2014,Multiple Observatories,0.898000,0.02667,0.58,5.7562400
GJ 251 b,GJ 251,2020,W. M. Keck Observatory,0.081800,0.01259,0.36,5.5805700
GJ 27.1 b,GJ 27.1,2014,Multiple Observatories,0.101000,0.04090,0.53,23.6062000
GJ 273 b,GJ 273,2017,La Silla Observatory,0.091101,0.00909,0.29,5.9215350
GJ 273 c,GJ 273,2017,La Silla Observatory,0.036467,0.00371,0.29,5.9215350
GJ 3021 b,GJ 3021,2000,La Silla Observatory,0.490000,3.37000,0.90,17.5559000
GJ 3082 b,GJ 3082,2020,Multiple Facilities,0.079000,0.02580,0.47,16.6186000
GJ 3090 b,GJ 3090,2022,Transiting Exoplanet Survey Satellite (TESS),,,,22.4751000
GJ 3138 b,GJ 3138,2017,La Silla Observatory,0.019700,0.00560,0.68,28.4712000
GJ 3138 c,GJ 3138,2017,La Silla Observatory,0.057000,0.01315,0.68,28.4712000
GJ 3138 d,GJ 3138,2017,La Silla Observatory,0.698000,0.03304,0.68,28.4712000
GJ 317 b,GJ 317,2007,W. M. Keck Observatory,1.150000,2.50000,0.42,15.1968000
GJ 317 c,GJ 317,2018,W. M. Keck Observatory,25.000000,2.00000,0.42,15.1968000
GJ 328 b,GJ 328,2013,McDonald Observatory,4.500000,2.30000,0.69,20.5266000
GJ 3293 b,GJ 3293,2015,La Silla Observatory,0.143390,0.07406,0.42,20.1903000
GJ 3293 c,GJ 3293,2015,La Silla Observatory,0.364000,0.08100,0.42,20.1903000
GJ 3293 d,GJ 3293,2017,La Silla Observatory,0.193940,0.02391,0.42,20.1903000
GJ 3293 e,GJ 3293,2017,La Silla Observatory,0.082080,0.01032,0.42,20.1903000
GJ 3323 b,GJ 3323,2017,La Silla Observatory,0.032820,0.00636,0.16,5.3748400
GJ 3323 c,GJ 3323,2017,La Silla Observatory,0.126400,0.00727,0.16,5.3748400
GJ 3341 b,GJ 3341,2015,La Silla Observatory,0.089000,0.02080,0.47,23.6190000
GJ 338 B b,GJ 338 B,2020,Calar Alto Observatory,0.141000,0.03231,0.64,6.3325600
GJ 3470 b,GJ 3470,2012,La Silla Observatory,,0.03958,0.51,29.4214000
GJ 3473 b,GJ 3473,2020,Transiting Exoplanet Survey Satellite (TESS),0.015890,0.00585,0.36,27.3644000
GJ 3473 c,GJ 3473,2020,Multiple Observatories,0.087600,0.02331,0.36,27.3644000
GJ 3512 b,GJ 3512,2019,Calar Alto Observatory,0.338000,0.46300,0.12,9.4863700
GJ 3512 c,GJ 3512,2020,Multiple Observatories,1.292000,0.20000,0.12,9.4863700
GJ 357 b,GJ 357,2019,Transiting Exoplanet Survey Satellite (TESS),,,,9.4418100
GJ 357 c,GJ 357,2019,Multiple Observatories,0.061000,0.01070,0.34,9.4418100
GJ 357 d,GJ 357,2019,Multiple Observatories,0.204000,0.01919,0.34,9.4418100
GJ 3634 b,GJ 3634,2010,La Silla Observatory,0.028700,0.02600,0.45,20.3779000
GJ 367 b,GJ 367,2021,Transiting Exoplanet Survey Satellite (TESS),0.007100,0.00172,0.45,9.4126300
GJ 3779 b,GJ 3779,2018,Calar Alto Observatory,0.026000,0.02517,0.27,13.7430000
GJ 3929 b,GJ 3929,2022,Transiting Exoplanet Survey Satellite (TESS),0.025690,0.00381,0.31,15.8095000
GJ 3929 c,GJ 3929,2022,Multiple Observatories,0.081000,0.01797,0.31,15.8095000
GJ 393 b,GJ 393,2021,Multiple Observatories,0.054020,0.00538,0.43,7.0314900
GJ 3942 b,GJ 3942,2017,Roque de los Muchachos Observatory,0.060800,0.02246,0.63,16.9287000
GJ 3998 b,GJ 3998,2016,Roque de los Muchachos Observatory,0.029000,0.00777,0.50,18.1459000
GJ 3998 c,GJ 3998,2016,Roque de los Muchachos Observatory,0.089000,0.01970,0.50,18.1459000
GJ 411 b,GJ 411,2019,Haute-Provence Observatory,0.078500,0.00941,0.39,5.6757730
GJ 414 A b,GJ 414 A,2021,W. M. Keck Observatory,0.240300,0.03220,0.69,11.8893000
GJ 414 A c,GJ 414 A,2021,W. M. Keck Observatory,1.400000,0.16937,0.65,11.8893000
GJ 422 b,GJ 422,2014,Multiple Observatories,0.119000,0.03115,0.35,12.6631000
GJ 4276 b,GJ 4276,2019,Calar Alto Observatory,0.082000,0.05213,0.41,21.3362000
GJ 433 b,GJ 433,2011,La Silla Observatory,0.060000,0.02000,0.59,9.0645600
GJ 433 c,GJ 433,2014,Multiple Observatories,4.819000,0.10201,0.48,9.0645600
GJ 433 d,GJ 433,2020,Multiple Facilities,0.178000,0.01643,0.48,9.0645600
GJ 436 b,GJ 436,2004,W. M. Keck Observatory,0.028490,0.06680,0.44,9.7532100
GJ 480 b,GJ 480,2020,Multiple Observatories,0.068000,0.04153,0.45,14.2358000
GJ 486 b,GJ 486,2021,Calar Alto Observatory,0.017340,0.00887,0.32,8.0742600
GJ 504 b,GJ 504,2013,Subaru Telescope,43.500000,4.00000,1.22,17.5299000
GJ 514 b,GJ 514,2022,Multiple Observatories,0.422000,0.01636,0.51,7.6177800
GJ 536 b,GJ 536,2016,La Silla Observatory,0.067000,0.02051,0.51,10.4092000
GJ 581 b,GJ 581,2005,La Silla Observatory,0.040000,0.04900,,6.2981000
GJ 581 c,GJ 581,2007,La Silla Observatory,0.072100,0.01730,0.31,6.2981000
GJ 581 e,GJ 581,2009,La Silla Observatory,0.030000,0.00600,,6.2981000
GJ 625 b,GJ 625,2017,Multiple Observatories,0.078361,0.00887,0.30,6.4724900
GJ 649 b,GJ 649,2009,W. M. Keck Observatory,1.132500,0.27500,0.53,10.3796000
GJ 667 C b,GJ 667 C,2011,La Silla Observatory,0.049000,0.01789,,7.2439600
GJ 667 C c,GJ 667 C,2011,La Silla Observatory,0.125000,0.01200,0.33,7.2439600
GJ 667 C e,GJ 667 C,2013,La Silla Observatory,0.213000,0.00800,0.33,7.2439600
GJ 667 C f,GJ 667 C,2013,La Silla Observatory,0.156000,0.00800,0.33,7.2439600
GJ 667 C g,GJ 667 C,2013,La Silla Observatory,0.549000,0.01400,0.33,7.2439600
GJ 674 b,GJ 674,2007,La Silla Observatory,0.039000,0.03500,0.35,4.5489600
GJ 676 A b,GJ 676 A,2010,La Silla Observatory,1.812000,6.70000,,16.0272000
GJ 676 A c,GJ 676 A,2016,Paranal Observatory,6.600000,6.80000,,16.0272000
GJ 676 A d,GJ 676 A,2012,La Silla Observatory,,0.01400,,16.0272000
GJ 676 A e,GJ 676 A,2012,La Silla Observatory,0.187000,0.03600,0.71,16.0272000
GJ 682 b,GJ 682,2014,Multiple Observatories,0.080000,0.01384,0.27,5.0067100
GJ 682 c,GJ 682,2014,Multiple Observatories,0.176000,0.02737,0.27,5.0067100
GJ 685 b,GJ 685,2019,Roque de los Muchachos Observatory,0.134400,0.02832,0.55,14.3155000
GJ 687 b,GJ 687,2014,Lick Observatory,0.170000,0.06000,0.45,4.5493900
GJ 687 c,GJ 687,2020,Multiple Observatories,1.165000,0.05034,0.40,4.5493900
GJ 720 A b,GJ 720 A,2021,Roque de los Muchachos Observatory,0.119000,0.04292,0.57,15.5575000
GJ 740 b,GJ 740,2021,Multiple Observatories,0.029000,0.00931,0.58,11.1017000
GJ 832 b,GJ 832,2008,Anglo-Australian Telescope,3.400000,0.64000,0.45,4.9643500
GJ 832 c,GJ 832,2014,Multiple Observatories,0.163000,0.01700,0.45,4.9643500
GJ 849 b,GJ 849,2006,W. M. Keck Observatory,,0.90000,0.49,8.8005800
GJ 849 c,GJ 849,2014,W. M. Keck Observatory,,0.70200,0.49,8.8005800
GJ 86 b,GJ 86,1999,La Silla Observatory,0.114000,4.04000,0.80,10.7836000
GJ 876 b,GJ 876,1998,Multiple Observatories,0.210000,2.11000,0.34,4.6751700
GJ 876 c,GJ 876,2000,Multiple Observatories,0.130000,0.56000,0.34,4.6751700
GJ 876 d,GJ 876,2005,W. M. Keck Observatory,,0.01841,0.34,4.6751700
GJ 876 e,GJ 876,2010,W. M. Keck Observatory,0.334300,0.04600,0.32,4.6751700
GJ 887 b,GJ 887,2020,La Silla Observatory,0.068000,0.01321,0.49,3.2900000
GJ 887 c,GJ 887,2020,La Silla Observatory,0.120000,0.02391,0.49,3.2900000
GJ 896 A b,GJ 896 A,2022,Very Long Baseline Array,0.639650,2.26000,0.44,6.2602200
